title,price,bedrooms,area,link,image,description
,2600,,"158-00 95th St #2, Howard Beach, NY 11414",https://www.zillow.com/homedetails/158-00-95th-St-2-Howard-Beach-NY-11414/461517282_zpid/,,
,4151,0,"490 2nd Ave, New York, NY",https://www.zillow.com/b/kips-bay-court-new-york-ny-4PRQ/,,
,4499,0,"460 2nd Ave, New York, NY",https://www.zillow.com/b/460-2nd-ave-new-york-ny-3LTw/,,
,6500,,"237 W 19th St APT C, New York, NY 10011",https://www.zillow.com/homedetails/237-W-19th-St-APT-C-New-York-NY-10011/31503249_zpid/,,
,4300,0,"501 3rd Ave, New York, NY",https://www.zillow.com/b/eastlight-new-york-ny-5hBPzK/,,
,2350,,"74-06 64th Ln #3, Ridgewood, NY 11385",https://www.zillow.com/homedetails/74-06-64th-Ln-3-Ridgewood-NY-11385/446908312_zpid/,,
,6800,,"121 5th Ave APT 2, Brooklyn, NY 11217",https://www.zillow.com/homedetails/121-5th-Ave-APT-2-Brooklyn-NY-11217/447956112_zpid/,,
,3995,,"236 New York Ave APT 2L, Brooklyn, NY 11216",https://www.zillow.com/homedetails/236-New-York-Ave-APT-2L-Brooklyn-NY-11216/2104826969_zpid/,,
,3500,0,"248 W 35th St, New York, NY",https://www.zillow.com/b/248-w-35th-st-new-york-ny-9PLYhZ/,,
,3400,,"311 E 72nd St APT 1G, New York, NY 10021",https://www.zillow.com/homedetails/311-E-72nd-St-APT-1G-New-York-NY-10021/456939037_zpid/,,
,4325,4,"1501 Lexington Ave, New York, NY",https://www.zillow.com/b/1501-lexington-ave-new-york-ny-5XjKj8/,,
,3996,,"410 Eastern Pkwy APT 6E, Brooklyn, NY 11225",https://www.zillow.com/homedetails/410-Eastern-Pkwy-APT-6E-Brooklyn-NY-11225/2096855202_zpid/,,
,4800,,"131 W 21st St APT 2, New York, NY 10011",https://www.zillow.com/homedetails/131-W-21st-St-APT-2-New-York-NY-10011/2099326545_zpid/,,
,2599,,"1993 3rd Ave APT 4R, New York, NY 10029",https://www.zillow.com/homedetails/1993-3rd-Ave-APT-4R-New-York-NY-10029/2127280388_zpid/,,
,3100,3,"1591 Broadway, Brooklyn, NY",https://www.zillow.com/b/1591-broadway-brooklyn-ny-97bMP2/,,
,3837,0,"21 India St, Brooklyn, NY",https://www.zillow.com/b/21-india-st-brooklyn-ny-CkhHrH/,,
,4200,,"108 Frost St, Brooklyn, NY 11211",https://www.zillow.com/homedetails/108-Frost-St-Brooklyn-NY-11211/216167932_zpid/,,
,3800,0,"200 E 87th St, New York, NY",https://www.zillow.com/b/200-e-87th-st-new-york-ny-Cgsy5R/,,
,3960,0,"200 Water St, New York, NY",https://www.zillow.com/b/200-water-st-new-york-ny-8Qrc/,,
,3100,,"414 E 85th St APT 4D, New York, NY 10028",https://www.zillow.com/homedetails/414-E-85th-St-APT-4D-New-York-NY-10028/2093932435_zpid/,,
,4445,,"1 S 1st St APT 38E, Brooklyn, NY 11249",https://www.zillow.com/homedetails/1-S-1st-St-APT-38E-Brooklyn-NY-11249/348759335_zpid/,,
,4495,4,"380 4th Ave, Brooklyn, NY",https://www.zillow.com/b/380-4th-ave-brooklyn-ny-Cknr58/,,
,4448,,"501 Cathedral Pkwy Unit 7J, New York, NY 10025",https://www.zillow.com/homedetails/501-Cathedral-Pkwy-UNIT-7J-New-York-NY-10025/461526343_zpid/,,
,8500,,"351 W 22nd St #1, New York, NY 10011",https://www.zillow.com/homedetails/351-W-22nd-St-1-New-York-NY-10011/2070475816_zpid/,,
,4500,,"65 Ludlow St APT 1, New York, NY 10002",https://www.zillow.com/homedetails/65-Ludlow-St-APT-1-New-York-NY-10002/2118756275_zpid/,,
,14750,,"10 Little West St #16G, New York, NY 10004",https://www.zillow.com/homedetails/10-Little-West-St-16G-New-York-NY-10004/61965208_zpid/,,
,4000,,"215 E 24th St APT 214, Manhattan, NY 10010",https://www.zillow.com/homedetails/215-E-24th-St-APT-214-Manhattan-NY-10010/79497401_zpid/,,
,3700,0,"350 W 42nd St, New York, NY",https://www.zillow.com/b/orion-condominium-new-york-ny-294P/,,
,2450,2,"156-08 Riverside Dr W, New York, NY",https://www.zillow.com/b/15608-riverside-dr-w-new-york-ny-CgHkzw/,,
,3965,,"226 E 78th St #26, New York, NY 10075",https://www.zillow.com/homedetails/226-E-78th-St-26-New-York-NY-10075/344060616_zpid/,,
,3100,,"11041 62nd Dr #2, Forest Hills, NY 11375",https://www.zillow.com/homedetails/11041-62nd-Dr-2-Forest-Hills-NY-11375/447012681_zpid/,,
,4200,0,"980 6th Ave, New York, NY",https://www.zillow.com/b/980-6th-ave-new-york-ny-9gnt6s/,,
,2450,2,"2866 Frederick Douglass Blvd, New York, NY",https://www.zillow.com/b/2866-frederick-douglass-blvd-new-york-ny-97Rf5H/,,
,2399,,"2275 West St #2R, Brooklyn, NY 11223",https://www.zillow.com/homedetails/2275-West-St-2R-Brooklyn-NY-11223/461526389_zpid/,,
,4245,0,"25 Water St, New York, NY",https://www.zillow.com/apartments/new-york-ny/soma/Cm6xS2/,,
,5895,0,"450 W 17th St, New York, NY",https://www.zillow.com/apartments/manhattan-ny/the-caledonia/5XVNqf/,,
,8895,,"101 W 55th St #711, New York, NY 10019",https://www.zillow.com/homedetails/101-W-55th-St-711-New-York-NY-10019/2065893203_zpid/,,
,12950,,"165 W 18th St #5A, New York, NY 10011",https://www.zillow.com/homedetails/165-W-18th-St-5A-New-York-NY-10011/2072180924_zpid/,,
,2600,,"83 Sackman St #1, Brooklyn, NY 11233",https://www.zillow.com/homedetails/83-Sackman-St-1-Brooklyn-NY-11233/2077822519_zpid/,,
,12500,,"121 E 22nd St APT N1001, New York, NY 10010",https://www.zillow.com/homedetails/121-E-22nd-St-APT-N1001-New-York-NY-10010/2079273194_zpid/,,
,11500,,"454 W 25th St APT 1, New York, NY 10001",https://www.zillow.com/homedetails/454-W-25th-St-APT-1-New-York-NY-10001/2084740122_zpid/,,
,4100,,"211 8th Ave APT 3B, Brooklyn, NY 11215",https://www.zillow.com/homedetails/211-8th-Ave-APT-3B-Brooklyn-NY-11215/2095562424_zpid/,,
,4500,0,"525 E 72nd St, New York, NY",https://www.zillow.com/b/525-e-72nd-st-new-york-ny-ChR7hG/,,
,2950,2,"8330 Kew Gardens Rd, Kew Gardens, NY",https://www.zillow.com/b/8330-kew-gardens-rd-kew-gardens-ny-CgHrnS/,,
,9500,,"249 11th St #1, Brooklyn, NY 11215",https://www.zillow.com/homedetails/249-11th-St-1-Brooklyn-NY-11215/2103568906_zpid/,,
,5000,5,"154 W 70th St, New York, NY",https://www.zillow.com/b/154-w-70th-st-new-york-ny-CkLznn/,,
,2795,,"433 W 45th St APT 4C, New York, NY 10036",https://www.zillow.com/homedetails/433-W-45th-St-APT-4C-New-York-NY-10036/2115916619_zpid/,,
,5500,5,"146 W 57th St, New York, NY",https://www.zillow.com/b/metropolitan-tower-condominium-new-york-ny-CkFDtR/,,
,4900,4,"145 E 48th St, New York, NY",https://www.zillow.com/b/the-cosmopolitan-new-york-ny-CkBGSL/,,
,3600,0,"100 Jay St, Brooklyn, NY",https://www.zillow.com/b/j-condominium-brooklyn-ny-5Xjq3X/,,
,5700,5,"15 William St, New York, NY",https://www.zillow.com/b/15-william-st-new-york-ny-ChyFR8/,,
,4995,,"166 E 35th St APT 9E, New York, NY 10016",https://www.zillow.com/homedetails/166-E-35th-St-APT-9E-New-York-NY-10016/244765202_zpid/,,
,10500,,"20 E 68th St APT 5A, New York, NY 10065",https://www.zillow.com/homedetails/20-E-68th-St-APT-5A-New-York-NY-10065/244788834_zpid/,,
,4800,,"316 Mott St APT 2E, New York, NY 10012",https://www.zillow.com/homedetails/316-Mott-St-APT-2E-New-York-NY-10012/244827048_zpid/,,
,2745,2,"2218 Ocean Ave, Brooklyn, NY",https://www.zillow.com/b/2218-ocean-ave-brooklyn-ny-CjNDpR/,,
,3500,,"529 Manhattan Ave Unit 1, New York, NY 10027",https://www.zillow.com/homedetails/529-Manhattan-Ave-UNIT-1-New-York-NY-10027/448710683_zpid/,,
,4800,,"42 Hawthorne St APT 2L, Brooklyn, NY 11225",https://www.zillow.com/homedetails/42-Hawthorne-St-APT-2L-Brooklyn-NY-11225/449337955_zpid/,,
,2495,0,"71 Downing St, Brooklyn, NY",https://www.zillow.com/b/71-downing-st-brooklyn-ny-2577/,,
,4000,,"1110 Putnam Ave APT 2, Brooklyn, NY 11221",https://www.zillow.com/homedetails/1110-Putnam-Ave-APT-2-Brooklyn-NY-11221/461526260_zpid/,,
,1900,,"165 Sharrotts Rd #2, Staten Island, NY 10309",https://www.zillow.com/homedetails/165-Sharrotts-Rd-2-Staten-Island-NY-10309/461526383_zpid/,,
,2350,,"143 Division St APT 6, New York, NY 10002",https://www.zillow.com/homedetails/143-Division-St-APT-6-New-York-NY-10002/461526396_zpid/,,
